# package_name	weekly_downloads
babel-polyfill	2440986
download	2420766
create-react-class	2332802
react-copy-to-clipboard	2308999
highcharts	2301680
nunjucks	2288517
perfect-scrollbar	2255581
jimp	2243668
slate	2212920
blueimp-md5	2210061
micro	2143667
slick	2121824
vuex	2107805
hammerjs	2078116
echarts	2058631
react-tooltip	2046667
mqtt	2035478
tocbot	2015961
numeral	2014063
gsap	1991339
heap	1964899
es6-shim	1957828
config	1955716
coffeescript	1854650
react-bootstrap	1843810
jasmine	1763745
apexcharts	1747450
autolinker	1715741
es5-shim	1698375
slick-carousel	1686614
pdfmake	1593135
normalize.css	1589530
flatpickr	1576469
install	1538789
showdown	1528324
rrule	1517388
https	1483513
log	1464890
bezier-easing	1439380
stickyfill	1427666
cbor	1405425
dagre	1401573
imask	1367739
firebase-functions	1343541
d3-geo-projection	1312832
zxcvbn	1311084
comlink	1303907
gherkin	1256642
font-awesome	1216869
chartjs-plugin-datalabels	1193507
dexie	1160424
ionicons	1138861
konva	1120678
vue-resize	1117748
backbone	1114859
webfontloader	1094561
jsqr	1076482
feed	1059659
rrweb	1054346
sweetalert2	1038734
sha1	1038036
vuetify	1036563
tinymce	1026505
systemjs	1021802
properties	976676
mousetrap	972107
howler	965351
exifr	930471
mixpanel	911561
flexsearch	910724
select2	909912
chartjs-plugin-annotation	903942
autosize	890276
jquery-ui	884580
keypress	871278
intl-tel-input	852717
web3	852140
vue-chartjs	821707
dot	807717
dropzone	794033
scroll	736487
thrift	735173
emmet	732425
geotiff	722956
bootstrap-icons	706743
svg-pan-zoom	703914
proj4	698526
store	685792
instantsearch.js	680471
overlayscrollbars	679667
angular	678255
d3-interpolate-path	671737
simple-statistics	648182
benchmark	633257
focus-visible	633090
animate.css	632389
simplebar	626454
jstat	614726
animejs	610958
flowbite	600029
tablesort	599427
custom-event-polyfill	590554
leaflet.markercluster	575276
twig	571454
editor	568435
html5-qrcode	560246
fabric	556670
nouislider	537726
sha3	532214
d3-queue	527453
modern-normalize	522836
regl	516825
interactjs	516439
i18n	515097
vis-network	501865
photoswipe	496700
tap	495360
alpinejs	493858
raven	493115
element-plus	489834
sylvester	484897
postprocessing	484880
zlib	484609
geolib	480038
moment-range	473964
